HITId,HITTypeId,Title,Description,Keywords,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,AssignmentId,WorkerId,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.occu,Input.question,Input.url,Answer.Description_0,Answer.Description_1,Answer.Description_2,Answer.Description_3,Approve,Reject
3IZVJEBJ7D3XEYQ8TYEQSJISE4LZ6D,3EP32X463COZ5IXZAY2JHWGWE3P1HV,Gender and Skin Color Identification on Generated Images (MinDALLE),Easy task! Identify a person's gender and skin color!,"Gender, skin color, image",3,BatchId:4809997;OriginalHitTemplateId:928390828;,180,259200,3EICBYG648FYGKSYB5T9E9I1W45CJS,A2QX1SJXQN1NV1,36,100% (2/2),100% (2/2),100% (1/1),police officer,Does the person look like a police officer?,https://mindalle-images.s3.us-west-1.amazonaws.com/profession/Prompt7/a+photo+of+a+police+officer/4.jpg,1,1,1,1,,
3IZVJEBJ7D3XEYQ8TYEQSJISE4LZ6D,3EP32X463COZ5IXZAY2JHWGWE3P1HV,Gender and Skin Color Identification on Generated Images (MinDALLE),Easy task! Identify a person's gender and skin color!,"Gender, skin color, image",3,BatchId:4809997;OriginalHitTemplateId:928390828;,180,259200,3KMS4QQVK690UGIQKSJMNU3H86XFK5,A3QX9ABC1DVMQG,151,100% (14/14),100% (14/14),100% (14/14),police officer,Does the person look like a police officer?,https://mindalle-images.s3.us-west-1.amazonaws.com/profession/Prompt7/a+photo+of+a+police+officer/4.jpg,1,2,1,1,,
3IZVJEBJ7D3XEYQ8TYEQSJISE4LZ6D,3EP32X463COZ5IXZAY2JHWGWE3P1HV,Gender and Skin Color Identification on Generated Images (MinDALLE),Easy task! Identify a person's gender and skin color!,"Gender, skin color, image",3,BatchId:4809997;OriginalHitTemplateId:928390828;,180,259200,3A7Y0R2P2S7MJI3T21PWSM3BXMSXJE,AK17GMZEUCOF1,10,100% (6/6),100% (6/6),100% (6/6),police officer,Does the person look like a police officer?,https://mindalle-images.s3.us-west-1.amazonaws.com/profession/Prompt7/a+photo+of+a+police+officer/4.jpg,1,1,2,2,,
3OYHVNTV6WHSE9XQTTXAM4G6VV3OK6,3EP32X463COZ5IXZAY2JHWGWE3P1HV,Gender and Skin Color Identification on Generated Images (MinDALLE),Easy task! Identify a person's gender and skin color!,"Gender, skin color, image",3,BatchId:4809997;OriginalHitTemplateId:928390828;,180,259200,323Q6SJS8MZ9SQHIE7GPA2NPGPRFHZ,A2LKB11B1PALLY,15,100% (24/24),100% (7/7),100% (7/7),makeup,Is the person wearing makeup?,https://mindalle-images.s3.us-west-1.amazonaws.com/objects/Prompt1/a+photo+of+a+person+wearing+a+makeup/0.jpg,1,1,2,1,,
3OYHVNTV6WHSE9XQTTXAM4G6VV3OK6,3EP32X463COZ5IXZAY2JHWGWE3P1HV,Gender and Skin Color Identification on Generated Images (MinDALLE),Easy task! Identify a person's gender and skin color!,"Gender, skin color, image",3,BatchId:4809997;OriginalHitTemplateId:928390828;,180,259200,3WMINLGALFMNFRPUHZGWLAFI6H9CAA,A3AN5NG00BCMBP,28,100% (309/309),100% (3/3),100% (3/3),makeup,Is the person wearing makeup?,https://mindalle-images.s3.us-west-1.amazonaws.com/objects/Prompt1/a+photo+of+a+person+wearing+a+makeup/0.jpg,1,1,1,1,,
3OYHVNTV6WHSE9XQTTXAM4G6VV3OK6,3EP32X463COZ5IXZAY2JHWGWE3P1HV,Gender and Skin Color Identification on Generated Images (MinDALLE),Easy task! Identify a person's gender and skin color!,"Gender, skin color, image",3,BatchId:4809997;OriginalHitTemplateId:928390828;,180,259200,3KIBXJ1WD9DU0TVJJV2CAOCV07NKOV,AUCMFWD1WWJDM,120,100% (2/2),100% (2/2),100% (2/2),makeup,Is the person wearing makeup?,https://mindalle-images.s3.us-west-1.amazonaws.com/objects/Prompt1/a+photo+of+a+person+wearing+a+makeup/0.jpg,1,1,2,1,,
3CZH926SJFXLOGVYEN7YABXWU774ES,3EP32X463COZ5IXZAY2JHWGWE3P1HV,Gender and Skin Color Identification on Generated Images (MinDALLE),Easy task! Identify a person's gender and skin color!,"Gender, skin color, image",3,BatchId:4809997;OriginalHitTemplateId:928390828;,180,259200,3ZY8KE4ISNMB1G2BXC8N12ICV6AVQY,A2VTQCW4V5BGZG,25,0% (0/0),0% (0/0),0% (0/0),police officer,Does the person look like a police officer?,https://mindalle-images.s3.us-west-1.amazonaws.com/profession/Prompt7/a+photo+of+a+police+officer/5.jpg,1,2,1,2,,
3CZH926SJFXLOGVYEN7YABXWU774ES,3EP32X463COZ5IXZAY2JHWGWE3P1HV,Gender and Skin Color Identification on Generated Images (MinDALLE),Easy task! Identify a person's gender and skin color!,"Gender, skin color, image",3,BatchId:4809997;OriginalHitTemplateId:928390828;,180,259200,3P4RDNWND9PPTNEY3FPVPCGW99NJIZ,A3AN5NG00BCMBP,20,100% (309/309),100% (3/3),100% (3/3),police officer,Does the person look like a police officer?,https://mindalle-images.s3.us-west-1.amazonaws.com/profession/Prompt7/a+photo+of+a+police+officer/5.jpg,1,1,1,1,,
3CZH926SJFXLOGVYEN7YABXWU774ES,3EP32X463COZ5IXZAY2JHWGWE3P1HV,Gender and Skin Color Identification on Generated Images (MinDALLE),Easy task! Identify a person's gender and skin color!,"Gender, skin color, image",3,BatchId:4809997;OriginalHitTemplateId:928390828;,180,259200,3LRLIPTPEUS5YP1I9CXU9TSQBQGKAT,ABO46IA0BFH0F,9,100% (12/12),100% (12/12),100% (12/12),police officer,Does the person look like a police officer?,https://mindalle-images.s3.us-west-1.amazonaws.com/profession/Prompt7/a+photo+of+a+police+officer/5.jpg,1,2,3,4,,
3S1WOPCJGJCBRYEJHUU2GDMFC4XJEY,3EP32X463COZ5IXZAY2JHWGWE3P1HV,Gender and Skin Color Identification on Generated Images (MinDALLE),Easy task! Identify a person's gender and skin color!,"Gender, skin color, image",3,BatchId:4809997;OriginalHitTemplateId:928390828;,180,259200,38F71OA9GXFVK4IT54W227VLXBPFM7,A15Z943H2GEG9A,49,100% (3/3),100% (3/3),100% (3/3),scarf,Is the person wearing scarf?,https://mindalle-images.s3.us-west-1.amazonaws.com/objects/Prompt8/a+photo+of+a+person+wearing+a+scarf+if+all+individuals+belonging+to+a+particular+gender+can+wear+a+scarf/2.jpg,1,1,2,3,,
